feature_name,datatype,unique_values,missing_count,missing_percentage,mean,std,min,max
Average Collection Days,float64,5451,0,0.0,9826220.861191595,256358895.70533204,0.0,9730000000.0
Inventory Turnover Rate (times),float64,2397,0,0.0,2149106056.607619,3247967014.047812,0.0,9990000000.0
Fixed Assets Turnover Frequency,float64,2451,0,0.0,1008595981.8175156,2477557316.9201517,0.0,9990000000.0
Net Worth Turnover Rate (times),float64,741,0,0.0,0.038595054614951586,0.036680343560413615,0.0,1.0
Revenue per person,float64,5667,0,0.0,2325854.266358276,136632654.3899363,0.0,8810000000.0
Operating profit per person,float64,3023,0,0.0,0.40067101508133507,0.032720144194699534,0.0,1.0
Allocation rate per person,float64,6768,0,0.0,11255785.321742088,294506294.11677057,0.0,9570000000.0
Working Capital to Total Assets,float64,6819,0,0.0,0.814125170261333,0.0590544026482635,0.0,1.0
Quick Assets/Total Assets,float64,6819,0,0.0,0.4001318123650569,0.20199806668068215,0.0,1.0
Current Assets/Total Assets,float64,6819,0,0.0,0.5222734467680338,0.21811182151419323,0.0,1.0
Cash/Total Assets,float64,6819,0,0.0,0.12409456048965214,0.13925058358332645,0.0,1.0
Quick Assets/Current Liability,float64,6819,0,0.0,3592902.1968296515,171620908.60682163,0.0,8820000000.0
Cash/Current Liability,float64,6816,0,0.0,37159994.147133335,510350903.16273063,0.0,9650000000.0
Current Liability to Assets,float64,6819,0,0.0,0.0906727945676238,0.05028985666891821,0.0,1.0
Operating Funds to Liability,float64,6819,0,0.0,0.35382800412158655,0.035147184179188065,0.0,1.0
Inventory/Working Capital,float64,6593,0,0.0,0.27739510610233165,0.010468846972945228,0.0,1.0
Inventory/Current Liability,float64,6590,0,0.0,55806804.52577958,582051554.6194191,0.0,9910000000.0
Current Liabilities/Liability,float64,6627,0,0.0,0.7615988775853332,0.20667676768344223,0.0,1.0
Working Capital/Equity,float64,6819,0,0.0,0.7358165257322183,0.011678026475599061,0.0,1.0
Current Liabilities/Equity,float64,6819,0,0.0,0.33140980061698827,0.013488027908897866,0.0,1.0
Long-term Liability to Current Assets,float64,4249,0,0.0,54160038.13589435,570270621.9592104,0.0,9540000000.0
Retained Earnings to Total Assets,float64,6819,0,0.0,0.9347327541270043,0.025564221690643103,0.0,1.0
Total income/Total expense,float64,6819,0,0.0,0.002548945567386416,0.01209281469621801,0.0,1.0
Total expense/Assets,float64,6819,0,0.0,0.02918409925586063,0.02714877679286165,0.0,1.0
Current Asset Turnover Rate,float64,6261,0,0.0,1195855763.3089354,2821161238.262308,0.0,10000000000.0
Quick Asset Turnover Rate,float64,5377,0,0.0,2163735272.034426,3374944402.166023,0.0,10000000000.0
Working capitcal Turnover Rate,float64,6819,0,0.0,0.5940062655659162,0.008959384178922204,0.0,1.0
Cash Turnover Rate,float64,4023,0,0.0,2471976967.444318,2938623226.6788445,0.0,10000000000.0
Cash Flow to Sales,float64,6819,0,0.0,0.6715307810992098,0.0093413456183006,0.0,1.0
Fixed Assets to Assets,float64,6814,0,0.0,1220120.5015895537,100754158.71316808,0.0,8320000000.0
Current Liability to Liability,float64,6627,0,0.0,0.7615988775853332,0.20667676768344223,0.0,1.0
Current Liability to Equity,float64,6819,0,0.0,0.33140980061698827,0.013488027908897866,0.0,1.0
Equity to Long-term Liability,float64,4251,0,0.0,0.11564465149636942,0.019529176275314197,0.0,1.0
Cash Flow to Total Assets,float64,6819,0,0.0,0.6497305901792364,0.04737213191450496,0.0,1.0
Cash Flow to Liability,float64,6819,0,0.0,0.4618492532922571,0.029942680345244794,0.0,1.0
CFO to Assets,float64,6819,0,0.0,0.5934150861096208,0.05856055014224858,0.0,1.0
Cash Flow to Equity,float64,6819,0,0.0,0.3155823898995751,0.01296089240164725,0.0,1.0
Current Liability to Current Assets,float64,6819,0,0.0,0.031506365747440736,0.030844688453563848,0.0,1.0
Liability-Assets Flag,int64,2,0,0.0,0.001173192550227306,0.034234310865302146,0.0,1.0
Net Income to Total Assets,float64,6819,0,0.0,0.8077602200365486,0.040332191531426226,0.0,1.0
Total assets to GNP price,float64,6818,0,0.0,18629417.81183602,376450059.7458224,0.0,9820000000.0
No-credit Interval,float64,6819,0,0.0,0.623914574767534,0.012289548007412282,0.0,1.0
Gross Profit to Sales,float64,6816,0,0.0,0.607946340270717,0.016933807795673647,0.0,1.0
Net Income to Stockholder's Equity,float64,6819,0,0.0,0.8404020646301005,0.01452252608252491,0.0,1.0
Liability to Equity,float64,6819,0,0.0,0.2803651538333931,0.014463223575594045,0.0,1.0
Degree of Financial Leverage (DFL),float64,6240,0,0.0,0.027541119421203627,0.01566794186642967,0.0,1.0
Interest Coverage Ratio (Interest expense to EBIT),float64,6240,0,0.0,0.5653579335465574,0.013214239761961918,0.0,1.0
Net Income Flag,int64,1,0,0.0,1.0,0.0,1.0,1.0
Equity to Liability,float64,6819,0,0.0,0.047578356529497656,0.05001371618013796,0.0,1.0
