feature,overall_mean,overall_median,overall_std,non_bankrupt_mean,non_bankrupt_median,bankrupt_mean,bankrupt_median,mean_difference
Quick Assets/Total Assets,0.4010282743991059,0.387411684036527,0.20305626357155557,0.40410589262195173,0.389804940052195,0.3087172141809049,0.276079844039131,-0.09538867844104681
Current Assets/Total Assets,0.5229210791273411,0.515921213525164,0.21946006745301108,0.5246482403701638,0.517732457168879,0.4711160552588117,0.4374418601283015,-0.053532185111352104
Cash/Total Assets,0.12431283329910445,0.0746274732412844,0.140362541977351,0.12680751336499838,0.0771444618189298,0.04948660564084283,0.026255281949438353,-0.07732090772415554
Quick Assets/Current Liability,4491292.404084284,0.0078794962254472,191874528.95503932,4641030.510202682,0.008069926850016,0.005226224162005241,0.00351999154903455,-4641030.504976458
Cash/Current Liability,37044912.93715617,0.0048403330744541,512698161.5325251,29406516.399256025,0.0050066838410916,266153409.09383172,0.0013754888838471502,236746892.6945757
Current Liability to Assets,0.09076957539046904,0.0825844743990746,0.050803147990046524,0.08900824360020497,0.0809011858349195,0.14359952153140096,0.1456025811478795,0.05459127793119599
Operating Funds to Liability,0.3534658847400088,0.34857846188812,0.032695661810433416,0.35394884470932436,0.3489704466969,0.33897982975127666,0.340543609630221,-0.0149690149580477
Inventory/Working Capital,0.2774857867008236,0.277178871425858,0.011010064662812789,0.2774923014474517,0.277181846888718,0.2772903813175879,0.276988800996689,-0.00020192012986380847
Inventory/Current Liability,56918900.10046105,0.0065220343718871,584240389.5288854,56381625.31671794,0.0066122266931355,73034090.91511987,0.004494905978391649,16652465.598401934
Current Liabilities/Liability,0.7617090638156016,0.80799663969795,0.20780338032668183,0.7625178994162766,0.809195757414968,0.7374485914521732,0.7709554593688841,-0.025069307964103338
Working Capital/Equity,0.7358323599089954,0.736016191049916,0.012403896207739094,0.7361371838236307,0.736072497307265,0.7266893744239963,0.732631804436063,-0.00944780939963441
Current Liabilities/Equity,0.3314817002138337,0.329678742849431,0.013245367342820641,0.3310643614172336,0.329591979998362,0.3439994928686755,0.33580818908989996,0.012935131451441872
Long-term Liability to Current Assets,54752227.3215,0.0019441869775026,563183568.056279,54219246.07601079,0.0018519940560646,70738636.38364531,0.00655991007497915,16519390.307634518
Retained Earnings to Total Assets,0.934525691835982,0.937552052393016,0.02613298883672073,0.9355459676298892,0.93790429002417,0.9039232150403261,0.9136519010282835,-0.03162275258956304
Total income/Total expense,0.002578403048743187,0.0023341532382643,0.013516991680545353,0.0025950893539888496,0.0023406720348002,0.002077908699925829,0.00205966537802045,-0.0005171806540630207
Total expense/Assets,0.02937102560467924,0.0229093942859092,0.027623353612332313,0.028651629245154797,0.0227111969609883,0.050948828911097005,0.031852731231769946,0.022297199665942208
Current Asset Turnover Rate,1196049932.172816,0.0001982660445749,2822734963.845809,1188692650.1236281,0.0001966936482886,1416726590.9095457,0.00025555505350564997,228033940.78591752
Quick Asset Turnover Rate,2183282716.773998,0.0002268860655258,3387365531.5191264,2172198753.5522137,0.000224431061107,2515738636.363765,0.00032828177646615,343539882.8115511
Working capitcal Turnover Rate,0.5940902195696224,0.59396251710646,0.005700449482734584,0.5940945828387514,0.593963198790072,0.5939593462870544,0.593916090898384,-0.00013523655169700444
Cash Turnover Rate,2496307726.8565254,1140000000.0,2951726628.167074,2502663582.1182685,1110000000.0,2305668181.818226,1575000000.0,-196995400.30004263
Cash Flow to Sales,0.6716591043338047,0.671573908502479,0.004869708161084985,0.6716625735731262,0.67157418505295,0.6715550468657482,0.6715684641417861,-0.00010752670737801395
Fixed Assets to Assets,1525206.4830451256,0.19946892477224,112648638.94538836,0.24767640983867775,0.197265010129856,47272727.59958746,0.302993350035093,47272727.35191105
Current Liability to Liability,0.7617090638156016,0.80799663969795,0.20780338032668183,0.7625178994162766,0.809195757414968,0.7374485914521732,0.7709554593688841,-0.025069307964103338
Current Liability to Equity,0.3314817002138337,0.329678742849431,0.013245367342820641,0.3310643614172336,0.329591979998362,0.3439994928686755,0.33580818908989996,0.012935131451441872
Equity to Long-term Liability,0.11557539178097778,0.112323852633009,0.018388405031109327,0.11516277861427943,0.112209194222834,0.12795144238893658,0.11838503109889251,0.01278866377465715
Cash Flow to Total Assets,0.6497424373115704,0.645395006715208,0.04774393718621903,0.6503929303965642,0.645584653122207,0.6302313407451969,0.638755436418549,-0.020161589651367273
Cash Flow to Liability,0.4618767951644647,0.459745937083218,0.029810231352781078,0.46214792946161715,0.45980679965888,0.4537443067856726,0.458688710938789,-0.008403622675944522
CFO to Assets,0.5932255336532533,0.593266274083544,0.05770317186748224,0.5944066524549346,0.594254664981396,0.5577986805050947,0.5640071803197435,-0.03660797194983989
Cash Flow to Equity,0.3155630466745564,0.314958451108117,0.01351778889970983,0.31574218816314514,0.315014794787782,0.3101898198662619,0.3135380512183195,-0.00555236829688327
Current Liability to Current Assets,0.03142658553472555,0.0276297938542726,0.029401805582419546,0.030455181166870442,0.0271715411015889,0.060563197227379614,0.04728543941994555,0.030108016060509172
Liability-Assets Flag,0.0009165902841429881,0.0,0.030264138030204554,0.00037885963250615644,0.0,0.017045454545454544,0.0,0.016666594912948387
Net Income to Total Assets,0.8074198736059284,0.810356988580264,0.03995369369519139,0.8097275272184387,0.811231487883142,0.738203376898865,0.766434035869064,-0.07152415031957371
Total assets to GNP price,19096975.260585573,0.0020661455217342,384431112.7793099,15941276.76535273,0.0020319340793979,113750000.01248425,0.0038495606434242,97808723.24713153
No-credit Interval,0.6238246917103321,0.623875104929383,0.012268765689740039,0.6238424966103295,0.623883381397662,0.6232906458746084,0.623578689265671,-0.000551850735721171
Gross Profit to Sales,0.6077629735406394,0.605983373475964,0.017046973498811624,0.6080663768933011,0.606206079343363,0.5986625968434737,0.5989610958064524,-0.009403780049827448
Net Income to Stockholder's Equity,0.8404423248968326,0.8411463980526,0.010817315255701721,0.8408504481314905,0.841206444172043,0.8282009467391095,0.8366945343723565,-0.012649501392380968
Liability to Equity,0.2804099660162132,0.278779433410011,0.013820552160750026,0.2799604730235357,0.278676006289585,0.2938922018590789,0.286001587866826,0.013931728835543167
Degree of Financial Leverage (DFL),0.027642447958956873,0.026808753586052,0.017378467167350718,0.027603083777942038,0.0268105994463048,0.028823149729282547,0.02668670533932245,0.0012200659513405092
Interest Coverage Ratio (Interest expense to EBIT),0.5653022796696252,0.565254146067448,0.014319743856392514,0.5653140241478345,0.565263907187009,0.5649500120533362,0.564711667282848,-0.0003640120944983227
Equity to Liability,0.047430304298001526,0.0338021771323038,0.04904382642497918,0.04815680442348656,0.0344557638178076,0.025639428375072427,0.018654493274492652,-0.022517376048414136
